FirstName,LastName,EmailAddress,DOB,Age,Age on Event Start Date,Gender,Address1,Address2,Town,Country,PostCode,ContactNumber,BookingId,BookingDate,TicketName,BookingState,LicenceName,StartDate,EndDate,LicenseState,ClubPlusLicenceName,ClubPlusLicenceState,Mid,MemberState,PaymentId,PaymentDate,PaymentMethod,GrossAmount,Quantity,LineAmount,RefundAmount,PaymentUser,PaymentUserEmail,PaymentState,Organisation,Sub-Regions,Regions,Emergency Contact - NGB:Name of emergency contact,Emergency Contact - NGB:Relationship of emergency contact,Emergency Contact - NGB:Contact number of emergency contact,V2 Paddle Australia Event Waiver - NGB:Please choose one of the option:,V2 Paddle Australia Event Waiver - NGB:I agree to the above statement,V2 Paddle Australia Event Waiver - NGB:2 I agree to the above statement,Simple Slalom Classes K1 C1  - Club:Classes,2026 slalom Registration Compatible with Siwi - Club:Full Name,2026 slalom Registration Compatible with Siwi - Club:Date of Birth,2026 slalom Registration Compatible with Siwi - Club:Please select the age category that you will compe,2026 slalom Registration Compatible with Siwi - Club:Please select the event you wish to compete in:,2026 slalom Registration Compatible with Siwi - Club:C2 Partner Name
Person11FirstName,Person11LastName,person11@example.com,25/5/1995,31,31,Male,12 Example Street,,Example Vale,Australia,9001,400000210,CB000011,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000011,Registered,PR000011,1/8/2026,Card,25,1,15,,Person11FirstName Person11LastName,person11@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person11FirstName Person11LastName,Self,400000210,I am registering myself to this event,Yes,No,K1,,,,,
Person12FirstName,Person12LastName,person12@example.com,30/1/1992,34,34,Male,12 Example Street,,Example Vale,Australia,9001,400000211,CB000012,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000012,Registered,PR000012,1/8/2026,Card,25,1,15,,Person12FirstName Person12LastName,person12@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person12FirstName Person12LastName,Self,400000211,I am registering myself to this event,Yes,No,K1,,,,,
Person13FirstName,Person13LastName,person13@example.com,11/3/1971,55,55,Male,12 Example Street,,Example Vale,Australia,9001,400000212,CB000013,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000013,Registered,PR000013,1/8/2026,Card,25,1,15,,Person13FirstName Person13LastName,person13@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person13FirstName Person13LastName,Self,400000212,I am registering myself to this event,Yes,No,K1,,,,,
Person14FirstName,Person14LastName,person14@example.com,14/10/1960,66,66,Male,12 Example Street,,Example Vale,Australia,9001,400000213,CB000014,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000014,Registered,PR000014,1/8/2026,Card,25,1,15,,Person14FirstName Person14LastName,person14@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person14FirstName Person14LastName,Self,400000213,I am registering myself to this event,Yes,No,K1,,,,,
Person15FirstName,Person15LastName,person15@example.com,2/6/1945,81,81,Male,12 Example Street,,Example Vale,Australia,9001,400000214,CB000015,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000015,Registered,PR000015,1/8/2026,Card,25,1,15,,Person15FirstName Person15LastName,person15@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person15FirstName Person15LastName,Self,400000214,I am registering myself to this event,Yes,No,K1,,,,,
Person16FirstName,Person16LastName,person16@example.com,9/9/1930,96,96,Male,12 Example Street,,Example Vale,Australia,9001,400000215,CB000016,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000016,Registered,PR000016,1/8/2026,Card,25,1,15,,Person16FirstName Person16LastName,person16@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person16FirstName Person16LastName,Self,400000215,I am registering myself to this event,Yes,No,K1,,,,,
Person17FirstName,Person17LastName,person17@example.com,5/3/2013,13,13,Female,12 Example Street,,Example Vale,Australia,9001,400000216,CB000017,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000017,Registered,PR000017,1/8/2026,Card,25,1,15,,Person17FirstName Person17LastName,person17@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person17FirstName Person17LastName,Self,400000216,I am registering myself to this event,Yes,No,K1,,,,,
Person18FirstName,Person18LastName,person18@example.com,20/11/2012,14,14,Female,12 Example Street,,Example Vale,Australia,9001,400000217,CB000018,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000018,Registered,PR000018,1/8/2026,Card,25,1,15,,Person18FirstName Person18LastName,person18@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person18FirstName Person18LastName,Self,400000217,I am registering myself to this event,Yes,No,K1,,,,,
Person19FirstName,Person19LastName,person19@example.com,14/7/2013,13,13,Female,12 Example Street,,Example Vale,Australia,9001,400000218,CB000019,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000019,Registered,PR000019,1/8/2026,Card,25,1,15,,Person19FirstName Person19LastName,person19@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person19FirstName Person19LastName,Self,400000218,I am registering myself to this event,Yes,No,K1,,,,,
Person20FirstName,Person20LastName,person20@example.com,2/1/2012,14,14,Female,12 Example Street,,Example Vale,Australia,9001,400000219,CB000020,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Junior Membership,1/1/2026,31/12/2026,Active,Junior,Active,PA000020,Registered,PR000020,1/8/2026,Card,25,1,15,,Person20FirstName Person20LastName,person20@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person20FirstName Person20LastName,Self,400000219,I am registering myself to this event,Yes,No,K1,,,,,
Person21FirstName,Person21LastName,person21@example.com,10/4/2007,19,19,Female,12 Example Street,,Example Vale,Australia,9001,400000220,CB000021,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000021,Registered,PR000021,1/8/2026,Card,25,1,15,,Person21FirstName Person21LastName,person21@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person21FirstName Person21LastName,Self,400000220,I am registering myself to this event,Yes,No,K1,,,,,
Person22FirstName,Person22LastName,person22@example.com,22/9/2005,21,21,Female,12 Example Street,,Example Vale,Australia,9001,400000221,CB000022,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000022,Registered,PR000022,1/8/2026,Card,25,1,15,,Person22FirstName Person22LastName,person22@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person22FirstName Person22LastName,Self,400000221,I am registering myself to this event,Yes,No,K1,,,,,
Person23FirstName,Person23LastName,person23@example.com,3/2/2004,22,22,Female,12 Example Street,,Example Vale,Australia,9001,400000222,CB000023,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000023,Registered,PR000023,1/8/2026,Card,25,1,15,,Person23FirstName Person23LastName,person23@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person23FirstName Person23LastName,Self,400000222,I am registering myself to this event,Yes,No,K1,,,,,
Person24FirstName,Person24LastName,person24@example.com,17/6/2003,23,23,Female,12 Example Street,,Example Vale,Australia,9001,400000223,CB000024,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000024,Registered,PR000024,1/8/2026,Card,25,1,15,,Person24FirstName Person24LastName,person24@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person24FirstName Person24LastName,Self,400000223,I am registering myself to this event,Yes,No,K1,,,,,
Person25FirstName,Person25LastName,person25@example.com,8/8/2002,24,24,Female,12 Example Street,,Example Vale,Australia,9001,400000224,CB000025,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000025,Registered,PR000025,1/8/2026,Card,25,1,15,,Person25FirstName Person25LastName,person25@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person25FirstName Person25LastName,Self,400000224,I am registering myself to this event,Yes,No,K1,,,,,
Person26FirstName,Person26LastName,person26@example.com,19/12/1998,28,28,Female,12 Example Street,,Example Vale,Australia,9001,400000225,CB000026,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000026,Registered,PR000026,1/8/2026,Card,25,1,15,,Person26FirstName Person26LastName,person26@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person26FirstName Person26LastName,Self,400000225,I am registering myself to this event,Yes,No,K1,,,,,
Person27FirstName,Person27LastName,person27@example.com,25/5/1995,31,31,Female,12 Example Street,,Example Vale,Australia,9001,400000226,CB000027,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000027,Registered,PR000027,1/8/2026,Card,25,1,15,,Person27FirstName Person27LastName,person27@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person27FirstName Person27LastName,Self,400000226,I am registering myself to this event,Yes,No,K1,,,,,
Person28FirstName,Person28LastName,person28@example.com,30/1/1992,34,34,Female,12 Example Street,,Example Vale,Australia,9001,400000227,CB000028,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000028,Registered,PR000028,1/8/2026,Card,25,1,15,,Person28FirstName Person28LastName,person28@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person28FirstName Person28LastName,Self,400000227,I am registering myself to this event,Yes,No,K1,,,,,
Person29FirstName,Person29LastName,person29@example.com,11/3/1971,55,55,Female,12 Example Street,,Example Vale,Australia,9001,400000228,CB000029,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000029,Registered,PR000029,1/8/2026,Card,25,1,15,,Person29FirstName Person29LastName,person29@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person29FirstName Person29LastName,Self,400000228,I am registering myself to this event,Yes,No,K1,,,,,
Person30FirstName,Person30LastName,person30@example.com,14/10/1960,66,66,Female,12 Example Street,,Example Vale,Australia,9001,400000229,CB000030,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000030,Registered,PR000030,1/8/2026,Card,25,1,15,,Person30FirstName Person30LastName,person30@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person30FirstName Person30LastName,Self,400000229,I am registering myself to this event,Yes,No,K1,,,,,
Person31FirstName,Person31LastName,person31@example.com,2/6/1945,81,81,Female,12 Example Street,,Example Vale,Australia,9001,400000230,CB000031,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000031,Registered,PR000031,1/8/2026,Card,25,1,15,,Person31FirstName Person31LastName,person31@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person31FirstName Person31LastName,Self,400000230,I am registering myself to this event,Yes,No,K1,,,,,
Person32FirstName,Person32LastName,person32@example.com,9/9/1930,96,96,Female,12 Example Street,,Example Vale,Australia,9001,400000231,CB000032,1/8/2026,Paddler and BBQ lunch,Booked,Paddle Australia Senior Membership,1/1/2026,31/12/2026,Active,Senior,Active,PA000032,Registered,PR000032,1/8/2026,Card,25,1,15,,Person32FirstName Person32LastName,person32@example.com,Paid,Derwent Canoe Club (CL000229),,Tasmania (CL000154),Person32FirstName Person32LastName,Self,400000231,I am registering myself to this event,Yes,No,K1,,,,,
